CHN,1,China,1378665
IND,2,India,1324171
USA,3,United States,323128
IDN,4,Indonesia,261115
BRA,5,Brazil,207653
PAK,6,Pakistan,193203
NGA,7,Nigeria,185990
BGD,8,Bangladesh,162952
RUS,9,Russian Federation,144342
MEX,10,Mexico,127540
JPN,11,Japan,126995
PHL,12,Philippines,103320
ETH,13,Ethiopia,102403
EGY,14,Egypt,95689
VNM,15,Vietnam,94569
DEU,16,Germany,82488
IRN,17,Iran,80277
TUR,18,Turkey,79512
COD,19,Congo Dem. Rep.,78736
THA,20,Thailand,68864
FRA,21,France,66892
GBR,22,United Kingdom,65596
ITA,23,Italy,60627
ZAF,24,South Africa,56015
TZA,25,Tanzania,55572
MMR,26,Myanmar,52885
KOR,27,South Korea,51246
COL,28,Colombia,48653
KEN,29,Kenya,48462
ESP,30,Spain,46485
UKR,31,Ukraine,45005
ARG,32,Argentina,43847
UGA,33,Uganda,41488
DZA,34,Algeria,40606
SDN,35,Sudan,39579
POL,36,Poland,37970
IRQ,37,Iraq,37203
CAN,38,Canada,36265
MAR,39,Morocco,35277
AFG,40,Afghanistan,34656
SAU,41,Saudi Arabia,32276
UZB,42,Uzbekistan,31848
PER,43,Peru,31774
VEN,44,Venezuela,31568
MYS,45,Malaysia,31187
NPL,46,Nepal,28983
MOZ,47,Mozambique,28829
AGO,48,Angola,28813
GHA,49,Ghana,28207
YEM,50,Yemen,27584
PRK,51,North Korea,25369
MDG,52,Madagascar,24895
AUS,53,Australia,24211
CIV,54,Côte d'Ivoire,23696
CMR,55,Cameroon,23439
LKA,56,Sri Lanka,21203
NER,57,Niger,20673
ROU,58,Romania,19699
BFA,59,Burkina Faso,18646
SYR,60,Syrian Arab Republic,18430
MWI,61,Malawi,18092
MLI,62,Mali,17995
CHL,63,Chile,17910
KAZ,64,Kazakhstan,17794
NLD,65,Netherlands,17030
ZMB,66,Zambia,16591
GTM,67,Guatemala,16582
ECU,68,Ecuador,16385
ZWE,69,Zimbabwe,16150
KHM,70,Cambodia,15762
SEN,71,Senegal,15412
TCD,72,Chad,14453
